Gene_ID	Pathway_ID
SAOUHSC_00897	sao00001;sao01000
SAOUHSC_00898	sao00001;sao04147;sao01000
SAOUHSC_00899	sao00001;sao04147;sao01000
SAOUHSC_00900	sao00001;sao04147;sao01000
SAOUHSC_00902	sao00001;sao01002;sao01000
SAOUHSC_00903	sao00001;sao01002;sao01000
SAOUHSC_00904	sao00001;sao03400;sao01000
SAOUHSC_00905	sao00001;sao03400;sao01000
SAOUHSC_00908	sao00001;sao01000
SAOUHSC_00909	sao00001;sao01000
SAOUHSC_00912	sao00001;sao03110
SAOUHSC_00914	sao00001;sao01000
SAOUHSC_00920	sao01004;sao00001;sao01000
SAOUHSC_00921	sao01004;sao00001;sao01000
SAOUHSC_00923	sao00001;sao02000
SAOUHSC_00924	sao00001;sao02000
SAOUHSC_00925	sao00001;sao02000
SAOUHSC_00926	sao00001;sao02000
SAOUHSC_00927	sao00001;sao02000
SAOUHSC_00928	sao00001;sao02000
SAOUHSC_00929	sao00001;sao02000
SAOUHSC_00930	sao00001;sao02000
SAOUHSC_00931	sao00001;sao02000
SAOUHSC_00932	sao00001;sao02000
SAOUHSC_00933	sao00001;sao03016;sao01007;sao01000
SAOUHSC_00934	sao00001
SAOUHSC_00935	sao00001
SAOUHSC_00936	sao00001
SAOUHSC_00937	sao00001;sao01002
SAOUHSC_00939	sao00001
SAOUHSC_00942	sao00001;sao01000
SAOUHSC_00943	sao00001;sao01000
SAOUHSC_00944	sao00001;sao01000;sao03009
SAOUHSC_00945	sao00001;sao02000
SAOUHSC_00947	sao01004;sao00001;sao01000
SAOUHSC_00949	sao00001
SAOUHSC_00953	sao00001;sao01003;sao01000
SAOUHSC_00954	sao00001;sao01011;sao01000
SAOUHSC_00956	sao03012;sao00001
SAOUHSC_00959	sao00001;sao02000
SAOUHSC_00961	sao02044;sao00001;sao03000
SAOUHSC_00963	sao00001;sao01000
SAOUHSC_00965	sao00001;sao01002
SAOUHSC_00970	sao00001;sao02000
